date,max_temperature_f,mean_temperature_f,min_temperature_f,mean_humidity,mean_visibility_miles,mean_wind_speed_mph,precipitation_inches,zip_code
8/29/2013,74.0,68.0,61.0,75.0,10.0,11.0,0,94107
8/30/2013,78.0,69.0,60.0,70.0,10.0,13.0,0,94107
8/31/2013,71.0,64.0,57.0,75.0,10.0,15.0,0,94107
9/1/2013,74.0,66.0,58.0,68.0,10.0,13.0,0,94107
9/2/2013,75.0,69.0,62.0,77.0,10.0,12.0,0,94107
9/3/2013,73.0,67.0,60.0,65.0,10.0,15.0,0,94107
9/4/2013,74.0,68.0,61.0,72.0,10.0,19.0,0,94107
9/5/2013,72.0,66.0,60.0,74.0,10.0,21.0,0,94107
9/6/2013,85.0,71.0,56.0,58.0,10.0,8.0,0,94107
9/7/2013,88.0,73.0,58.0,59.0,10.0,8.0,0,94107
9/8/2013,74.0,65.0,56.0,70.0,10.0,11.0,0,94107
9/9/2013,76.0,66.0,55.0,70.0,10.0,11.0,0,94107
9/10/2013,74.0,66.0,57.0,73.0,10.0,8.0,0,94107
9/11/2013,74.0,68.0,62.0,68.0,10.0,9.0,0,94107
9/12/2013,71.0,65.0,59.0,73.0,10.0,11.0,0,94107
9/13/2013,66.0,62.0,57.0,80.0,10.0,15.0,0,94107
9/14/2013,66.0,62.0,57.0,77.0,10.0,16.0,0,94107
9/15/2013,73.0,66.0,58.0,72.0,10.0,13.0,0,94107
9/16/2013,71.0,65.0,59.0,74.0,10.0,16.0,0,94107
9/17/2013,68.0,63.0,57.0,72.0,10.0,22.0,0,94107
9/18/2013,78.0,66.0,54.0,60.0,10.0,10.0,0,94107
9/19/2013,80.0,67.0,54.0,58.0,10.0,10.0,0,94107
9/20/2013,73.0,65.0,56.0,70.0,10.0,10.0,0,94107
9/21/2013,68.0,63.0,58.0,75.0,9.0,12.0,0.23,94107
9/22/2013,70.0,63.0,55.0,70.0,10.0,10.0,0,94107
9/23/2013,78.0,68.0,57.0,64.0,10.0,9.0,0,94107
9/24/2013,71.0,65.0,58.0,66.0,10.0,19.0,0,94107
9/25/2013,67.0,62.0,56.0,64.0,10.0,20.0,0,94107
9/26/2013,71.0,62.0,53.0,53.0,10.0,11.0,0,94107
9/27/2013,78.0,66.0,54.0,46.0,10.0,7.0,0,94107
9/28/2013,78.0,66.0,53.0,60.0,10.0,9.0,0,94107
9/29/2013,75.0,66.0,57.0,70.0,10.0,7.0,0,94107
9/30/2013,73.0,66.0,59.0,69.0,10.0,10.0,T,94107
10/1/2013,69.0,63.0,56.0,61.0,10.0,13.0,0,94107
10/2/2013,69.0,62.0,54.0,61.0,10.0,14.0,0,94107
10/3/2013,70.0,62.0,54.0,47.0,10.0,13.0,0,94107
10/4/2013,76.0,69.0,61.0,38.0,10.0,9.0,0,94107
10/5/2013,80.0,69.0,57.0,36.0,10.0,5.0,0,94107
10/6/2013,83.0,70.0,56.0,40.0,10.0,5.0,0.01,94107
10/7/2013,80.0,68.0,56.0,46.0,10.0,9.0,0,94107
10/8/2013,72.0,62.0,52.0,59.0,10.0,10.0,0,94107
10/9/2013,68.0,60.0,52.0,60.0,10.0,8.0,0,94107
10/10/2013,70.0,62.0,53.0,61.0,10.0,5.0,0,94107
10/11/2013,63.0,57.0,51.0,70.0,10.0,9.0,0,94107
10/12/2013,64.0,56.0,47.0,71.0,8.0,13.0,0,94107
10/13/2013,73.0,62.0,51.0,60.0,10.0,7.0,0,94107
10/14/2013,77.0,64.0,51.0,49.0,10.0,5.0,0,94107
10/15/2013,80.0,67.0,53.0,40.0,10.0,5.0,0,94107
10/16/2013,80.0,67.0,53.0,41.0,10.0,4.0,0,94107
10/17/2013,81.0,68.0,54.0,56.0,10.0,7.0,0,94107
10/18/2013,68.0,60.0,51.0,66.0,10.0,10.0,0,94107
10/19/2013,74.0,62.0,49.0,65.0,10.0,9.0,0,94107
10/20/2013,64.0,57.0,49.0,77.0,8.0,11.0,0,94107
10/21/2013,61.0,55.0,48.0,80.0,10.0,9.0,0,94107
10/22/2013,64.0,56.0,47.0,82.0,5.0,10.0,0,94107
10/23/2013,61.0,55.0,49.0,83.0,7.0,9.0,0,94107
10/24/2013,60.0,57.0,53.0,73.0,10.0,9.0,0,94107
10/25/2013,67.0,59.0,50.0,69.0,10.0,9.0,0,94107
10/26/2013,70.0,60.0,49.0,67.0,10.0,9.0,0,94107
10/27/2013,60.0,55.0,50.0,76.0,10.0,18.0,T,94107
10/28/2013,61.0,57.0,52.0,69.0,10.0,15.0,0,94107
10/29/2013,63.0,58.0,52.0,66.0,10.0,7.0,0,94107
10/30/2013,65.0,57.0,48.0,66.0,10.0,7.0,0,94107
10/31/2013,70.0,59.0,48.0,54.0,10.0,4.0,0,94107
11/1/2013,74.0,63.0,51.0,57.0,10.0,4.0,0,94107
11/2/2013,63.0,57.0,50.0,73.0,9.0,13.0,0,94107
11/3/2013,63.0,55.0,47.0,56.0,10.0,9.0,0,94107
